AAPL,NFLX,AMZN,MMM,K,O,NSRGY,LDSVF,JPM,JNJ,TSLA,V,PFE
10.022475,36.708572,192.550003,69.132698,40.047241,21.058714,47.051353,3095.479248,29.878901,49.071289,5.514,17.085556,13.190562
10.197216,37.16,201.25,70.16713,40.091145,21.103264,47.325886,3095.479248,30.173981,49.214588,5.492,17.20664,13.249682
10.296105,37.869999,202.350006,70.752785,40.347092,21.249632,47.425018,2759.398438,29.916721,49.712399,5.622,17.530334,13.499308
10.25864,37.848572,204.179993,70.821259,40.361721,21.521278,47.234371,2681.569092,30.605246,50.014084,5.658,20.159416,13.578134
10.308697,37.527142,204.490005,72.14476,40.456802,21.406229,47.569904,2681.569092,30.975988,50.172478,5.826,19.621487,13.532147
10.541796,38.284286,209.490005,73.529076,40.515301,21.744995,47.455521,2681.569092,31.653528,50.760796,5.804,20.485432,13.630685
10.731277,41.375713,213.190002,73.125938,40.325146,21.834482,48.118969,2681.569092,31.234818,51.002151,5.828,20.566938,13.650392
10.802836,41.565716,214.190002,73.962624,40.588425,22.173244,47.928322,2681.569092,30.877029,50.94936,5.792,20.538986,13.650392
10.969903,41.774284,216.740005,74.51786,40.756638,22.37779,47.791054,2681.569092,31.455597,51.228439,5.946,20.993086,13.289092
11.046986,42.162857,218.279999,74.251656,40.347092,22.333038,48.050335,2681.569092,31.01405,50.964455,5.762,20.895281,13.243116
10.87163,41.534286,212.550003,73.445381,40.303223,22.000668,47.501282,2681.569092,30.016792,50.738163,5.67,20.469126,13.164286
10.863953,41.610001,211.229996,72.928162,40.639626,22.058201,47.5089,2681.569092,29.986343,50.55714,5.634,20.422558,13.13801
10.99509,42.675713,213.5,73.163963,40.52261,21.783352,47.813931,2681.569092,30.161428,51.009697,5.728,20.664742,13.13144
10.98741,40.945713,210.380005,72.243622,40.434853,21.585205,48.012207,2681.569092,30.717161,51.032326,5.522,20.478441,13.078888
11.206989,40.990002,212.869995,72.616348,40.398293,21.770569,48.271484,2681.569092,30.435492,50.873932,5.516,20.66707,12.973783
11.479702,39.857143,211.529999,71.954567,40.200836,21.610767,47.211491,2681.569092,30.321306,50.602409,5.446,20.508717,12.901526
11.573372,41.041428,218.059998,71.703575,40.52261,21.77696,47.371632,2681.569092,30.747612,50.32333,5.578,20.774191,13.0986
11.882014,40.200001,215.550003,71.68837,40.486046,21.879229,47.60041,2681.569092,31.181538,49.961304,5.738,20.641455,13.072318
11.893992,39.401428,213.210007,72.897766,40.89558,22.007067,48.263863,2681.569092,32.194027,50.134766,5.74,20.504063,13.203701
12.078565,39.511429,216.520004,72.547867,40.888264,22.077368,48.385876,2681.569092,32.117893,50.32333,5.858,20.846373,13.183997
12.23826,40.218571,213.490005,72.312065,40.873646,21.808916,49.079823,2681.569092,31.737261,49.968842,5.698,20.743916,13.013203
12.389052,38.130001,214.179993,68.402489,40.800514,21.80253,49.178955,2681.569092,31.546934,49.719925,5.6,20.77186,12.894958
12.056762,38.488571,222.520004,66.995354,40.625,21.23365,48.492626,2681.569092,30.960766,49.199501,5.528,20.434202,12.67818
12.033109,38.08857,223.899994,66.607414,40.822453,20.973652,48.202847,2681.569092,30.968376,49.086369,5.634,20.240913,12.717591
11.991956,37.998569,222.520004,66.280357,40.793186,20.838823,48.614651,2681.569092,30.793295,48.86763,5.634,19.919561,12.645337
12.184517,37.625713,221.320007,65.998947,40.449482,20.864515,48.729034,2681.569092,30.785679,48.581024,5.754,19.952162,12.487673
11.943745,36.742859,211.699997,64.858009,39.813232,20.312399,48.957806,2681.569092,30.328913,47.841866,5.468,19.458475,11.916177
12.056144,37.142857,209.960007,65.550156,39.747402,20.261042,48.782417,2681.569092,30.374584,47.826778,5.44,20.371328,11.975954
11.589339,35.110001,201.479996,62.545712,38.32864,19.631916,47.089478,2681.569092,28.867273,46.642597,4.95,19.791483,11.530924
11.474173,34.444286,202.699997,62.941254,39.023388,19.265966,47.432644,2681.569092,28.623672,47.298801,4.848,19.423552,11.617274
10.847367,32.377144,193.699997,59.777061,37.787468,18.001257,45.541439,2507.338379,25.928785,46.099556,4.728,18.452486,11.065969
11.486154,33.971428,205.089996,62.895596,38.438332,20.11981,48.729034,2648.845703,27.710148,46.914139,5.012,19.272184,11.690338
11.169219,33.202858,194.130005,59.503242,37.633873,19.741037,47.798683,2648.845703,26.164778,45.405643,4.764,18.461805,11.325017
11.47663,34.732857,198.360001,61.777512,38.123871,20.620556,47.623287,2648.845703,27.930925,47.8494,5.06,19.682037,11.829825
11.577671,34.857143,202.300003,62.781513,38.679676,20.325241,48.416374,2648.845703,27.337133,47.789078,5.262,19.521357,11.86304
11.774836,35.182858,202.949997,63.36721,39.19891,21.127728,47.905445,2648.845703,28.075565,48.716785,5.246,19.996405,12.181864
11.684852,34.148571,197.679993,62.469662,39.169659,20.954388,48.080841,2648.845703,27.42849,48.543316,5.22,19.987087,12.161938
11.683623,33.177143,195.929993,61.971924,39.103844,21.0828,49.034073,2648.845703,27.839577,48.467884,5.166,19.592857,12.281499
